text,slur_tagged_text,mono_sentiment,mono_respect,mono_insult,mono_humiliate,mono_status,mono_dehumanize,mono_violence,mono_genocide,mono_attack_defend,mono_hatespeech,mono_time,mod_sentiment,mod_respect,mod_insult,mod_humiliate,mod_status,mod_dehumanize,mod_violence,mod_genocide,mod_attack_defend,mod_hatespeech,mod_time
@KiTT FOXXE iranian people are aryan dumbass...the race you wish you were,"@KiTT FOXXE iranian people are <slur demo_group='Whites' explanation='The name Hitler used to refer to his blonde-haired, blue-eyed ""Master Race.""  Can be used towards racist whites who don't think they're racist.'>aryan</slur> dumbass...the race you wish you were",4,4.0,4.0,3.0,4.0,3.0,0.0,0.0,3.0,yes,12.510113954544067,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,yes,14.5351881980896
"There are a million different ways be a Hindu, including being a white one! The religion/philosophy accepts all people. You may look different from many temple goers but you're always welcome to go and I'm sure most people would be happy and interested that you are there. Good luck bhai","There are a million different ways be a Hindu, including being a white one! The religion/philosophy accepts all people. You may look different from many temple goers but you're always welcome to go and I'm sure most people would be happy and interested that you are there. Good luck bhai",1,,,,,,,,,no,0.011611223220825195,,,,,,,,,,no,0.002824068069458008
"In Saudi this year, the mass extermination of 37 of mostly Shiite men this week provoked condemnation from the UN and other human rights organizations, as several teenage boys were executed for crimes as seemingly petty a sending Whatsapp messages about government demonstrations.","In Saudi this year, the mass extermination of 37 of mostly Shiite men this week provoked condemnation from the UN and other human rights organizations, as several teenage boys were executed for crimes as seemingly petty a sending Whatsapp messages about government demonstrations.",4,0.0,0.0,0.0,2.0,0.0,3.0,3.0,3.0,yes,0.011523246765136719,4.0,0.0,0.0,1.0,4.0,1.0,3.0,3.0,1.0,yes,0.015032052993774414
"They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country","They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the <slur demo_group='Whites' explanation='Self-explanatory. Usually used as ""White trash,"" ""Poor white trash,"" or ""Trailer trash.""'>trash</slur> back to there own country",4,4.0,4.0,3.0,4.0,3.0,2.0,1.0,4.0,yes,13.139552116394043,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,yes,15.375258922576904
Who hurt you? Lol. It's comical how stupid and angry you people are.  MEH AMURICA. MY LAND. MINE. BANG BANG GUNS. NO BROWN PEOPLE. WAHH.,"Who hurt you? Lol. It's comical how stupid and angry <slur demo_group='Blacks' explanation='Ross Perot, while at the 1992 NAACP convention in Nashville TN, frequently addressed his audience as ""you people.""  Revitalized again in April, 2007 when Don Imus said ""I can't get any place with you people"" on the Rev. Al Sharpton's radio show.'>you people</slur> are.  MEH AMURICA. MY LAND. MINE. BANG BANG GUNS. NO BROWN PEOPLE. WAHH.",4,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,yes,0.019044876098632812,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,yes,0.01636815071105957
"GET RID OF THOSE FUCKING MUSLIMS! the nasty ones that won't assimilate, rape women, beat children, threaten democracy, plan terror attacks, assault innocent secular people and force their disgusting religion on everyone else by way of violence. Assimilate OR GET THE FUCK OUT OR BE PREPARED TO DIE!","GET RID OF THOSE FUCKING MUSLIMS! the nasty ones that won't assimilate, rape women, beat children, threaten democracy, plan terror attacks, assault innocent secular people and force their disgusting religion on everyone else by way of violence. Assimilate OR GET THE FUCK OUT OR BE PREPARED TO DIE!",4,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,yes,0.008568048477172852,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,yes,0.012639999389648438
Id have to taunt and tease and deny you your orgasms first so that once I plowed my cock into you your pussy could barely wait to get creamed and you were cumming hard on me almost as soon as I began to pound your hungry little cunt,Id have to taunt and tease and deny you your orgasms first so that once I plowed my cock into you your pussy could barely wait to get creamed and you were cumming hard on me almost as soon as I began to pound your hungry little cunt,4,,,,,,,,,no,0.011792182922363281,,,,,,,,,,no,0.0054438114166259766
@jamesbooth100 @MayorofLondon No. I think all religious texts should be criticised. They all include texts that have no place in modern society. Did you say anything when people swear on the Bible? Or is it just the Q'uran?,@jamesbooth100 @MayorofLondon No. I think all religious texts should be criticised. They all include texts that have no place in modern society. Did you say anything when people swear on the Bible? Or is it just the Q'uran?,3,,,,,,,,,no,0.009855031967163086,,,,,,,,,,no,0.004473686218261719
"If, in the span of 24 hours, two Islamic terrorists shit and killed 40 people in separate places, Republicans would be foaming at the goddamn mouth demanding there be citizenship requirements and a religious test to buy a gun in this country.","If, in the span of 24 hours, two Islamic terrorists shit and killed 40 people in separate places, Republicans would be foaming at the goddamn mouth demanding there be citizenship requirements and a religious test to buy a gun in this country.",4,4.0,3.0,2.0,4.0,2.0,1.0,0.0,3.0,yes,0.020811080932617188,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,yes,0.01852703094482422
Trans rights are human rights,Trans rights are human rights,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,0.01256704330444336,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,no,0.015110015869140625
"*Meets a Hindi guy*  Thinks the entire world speaks in Hindi  Me: Bhai, you are still in your cow shed, wake up from your dream, your task for today is to lynch someone and vote for a terrorist URL","*Meets a Hindi guy*  Thinks the entire world speaks in Hindi  Me: Bhai, you are <slur demo_group='Falkland Islanders' explanation='After British troops were forbidden to use the insulting term  ""Bennies"", they named the Islanders ""Stills"" - because they were still Bennies.'>still</slur> in your cow shed, wake up from your dream, your task for today is to lynch someone and vote for a <slur demo_group='Arabs' explanation='Self explanatory.'>terrorist</slur> URL",4,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,yes,16.03514003753662,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,yes,14.739771842956543
"This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.","This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their <slur demo_group='Native Americans' explanation='Americans commonly called Native Americans by this name in the 1800s.'>savage</slur> ways. Illegals must die.",4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,yes,12.523566007614136,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,yes,16.91543197631836
"No, the chances of a muslim shooting you in America is almost nil. There are over 50K gun deaths every year christian USA. We should be focusing our attention on Christians and less on peace loving Muslims.","No, the chances of a muslim shooting you in America is almost nil. There are over 50K gun deaths every year christian USA. We should be focusing our attention on Christians and less on peace loving Muslims.",3,3.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,no,0.014861106872558594,3.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,no,0.015508890151977539
"they're alienating all the moderates with this turbo SJW BS, then when right wing populists get elected it's shockedpickachu.jpeg ​ can a community genocide itself? cause it's aboriginal men killing the vast majority of aboriginal women. was there anything in the report about the RAMPANT gang violence on the reserves?  ​  [URL","they're alienating all the moderates with this turbo SJW BS, then when right wing populists get elected it's shockedpickachu.jpeg ​ <slur demo_group='Hispanics' explanation='MexiCANS, Puerto RiCANS'>can</slur> a community genocide itself? cause it's aboriginal men killing the vast majority of aboriginal women. was there anything in the report about the RAMPANT gang violence on the reserves?  ​  [URL",4,4.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,yes,12.348419904708862,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,yes,15.485517978668213
Who caught the filthy mouth white trash snowflake girl using profanity at a speech in front of city hall ? Great role model,"Who caught the filthy mouth white <slur demo_group='Whites' explanation='Self-explanatory. Usually used as ""White trash,"" ""Poor white trash,"" or ""Trailer trash.""'>trash</slur> <slur demo_group='Blacks' explanation='Was used to indicate an educated black man during the civil war; white collar blacks were pretty rare - only white people had desk jobs.'>snowflake</slur> girl using profanity at a speech in front of city hall ? Great role model",4,4.0,4.0,3.0,4.0,3.0,0.0,0.0,4.0,yes,11.668409824371338,4.0,4.0,4.0,4.0,3.0,4.0,1.0,1.0,4.0,yes,13.72740125656128
@BADxDC Hell nah and she's white but I think she use to be black in a past life or something,@BADxDC Hell nah and she's white but I think she use to be black in a past life or something,3,3.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,no,0.018489837646484375,3.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,no,0.017116308212280273
Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then.,"<slur demo_group='Germans' explanation='Self-explanatory.'>hitler</slur> didn't finish it. <slur demo_group='Hispanics' explanation='MexiCANS, Puerto RiCANS'>can</slur> u. If a <slur demo_group='Blacks' explanation='Most likely originates with the Latin word ""niger"" which translates to ""black"". Similar words for ""black"" exist in other languages (Spanish, for example, is ""negro""). Also somewhat relates to the African country Nigeria, which is primarily black. Many variations exist, including ""Nig"", ""Nigel"", ""Niggy"", ""Niggly"", etc.Some interesting history.'>nigger</slur> ur <slur demo_group='Jews' explanation='Short for Jewish. Not really a slur but could be if you say it the right way.'>jew</slur> confronts u in the street what then.",4,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,yes,11.126852035522461,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,yes,15.807918071746826
"@blaise gordon  Yeah! That too. Asians, Latinos and white COLORED people are fed up with black privileges and entitlements. A race war, at least in some sectors of the United States, is a definite possibility.","@blaise gordon  Yeah! That too. Asians, Latinos and white <slur demo_group='Blacks' explanation='Skin color. Probably not a very good slur, as it's one of the words of NAACP.'>colored</slur> people are fed up with black privileges and entitlements. A race war, at least in some sectors of the United States, is a definite possibility.",4,4.0,4.0,3.0,3.0,2.0,4.0,1.0,3.0,yes,10.78876805305481,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,yes,13.711939811706543
"To be fair thou, your Mike did came to my country (Vietnam) demanded us to hand over the 2 American citizen terrorists who bombed a police station in 2018. So yeah, it's just that your country is overall rude.","To be fair thou, your Mike did came to my country (Vietnam) demanded us to hand over the 2 American citizen terrorists who bombed a police station in 2018. So yeah, it's just that your country is overall rude.",3,3.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,no,0.016126155853271484,3.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,no,0.014779806137084961
Why does being gay mean so much to gays?,Why does being gay mean so much to gays?,2,2.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,no,0.008007049560546875,2.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,no,0.012880086898803711
"men are trash, no matter if it's humans or animals 😂 URL","men are <slur demo_group='Whites' explanation='Self-explanatory. Usually used as ""White trash,"" ""Poor white trash,"" or ""Trailer trash.""'>trash</slur>, no matter if it's humans or animals 😂 URL",4,4.0,4.0,3.0,4.0,4.0,0.0,0.0,3.0,yes,10.337584018707275,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,yes,15.144845962524414
"you look like a freak with your albino face, dark hair and light beard. probably got rainbow pubes huh? what color is your dick? so ugly.","you look like a freak with your <slur demo_group='Whites' explanation='Albinos are white.'>albino</slur> face, dark hair and light beard. probably got rainbow pubes huh? what color is your dick? so ugly.",4,4.0,4.0,4.0,4.0,2.0,0.0,0.0,3.0,yes,10.815910816192627,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,4.0,yes,13.337271928787231
31 Black Women Who Died In Police Custody URL,31 Black Women Who Died In Police Custody URL,4,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,no,0.016747713088989258,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,no,0.014717340469360352
"I, a Catholic and a Jesuit, am grateful for this Muslim holy season for challenging me to be a more dedicated child of God. URL","I, a Catholic and a Jesuit, am grateful for this Muslim holy season for challenging me to be a more dedicated child of God. URL",1,,,,,,,,,no,0.005361080169677734,,,,,,,,,,no,0.003612995147705078
"This post is just as degenerate as any of the ones posted by the RSS sanghis at r/bakchodi. All hindus aren't a monolith, just like how all muslims aren't Jihadi fundamentalists","This post is just as degenerate as any of the ones posted by the RSS sanghis at r/bakchodi. All hindus aren't a monolith, just like how all muslims aren't <slur demo_group='Arabs' explanation='Mosslems in India have been branded after Jihad.'>jihadi</slur> fundamentalists",3,3.0,3.0,2.0,2.0,2.0,1.0,0.0,3.0,yes,10.88759708404541,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,yes,16.149423122406006
"The race card is played out. It's obvious the real racists are irresponsible, ignorant minorities and old, big government, power hungry elite. You know, the ones always screaming racism.","The race card is played out. It's obvious the real racists are irresponsible, ignorant minorities and old, big government, power hungry elite. You know, the ones always screaming racism.",4,4.0,3.0,2.0,4.0,2.0,1.0,0.0,3.0,yes,0.016433238983154297,4.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,4.0,yes,0.017853975296020508
"My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.","My God look at these BARBARIC PPL. And these <slur demo_group='Mediterraneans' explanation='Portuguese, Italian, Greek, Spanish.  Specifically refers to Mediterranean men and their piggish behavior toward women in particular'>pigs</slur> all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.",4,4.0,4.0,3.0,4.0,3.0,2.0,1.0,3.0,yes,15.715614795684814,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,yes,12.631972789764404
On behalf of the #LGBTI elders of #Adelaide 'Thank you' @julia_zemiro for bringing @A_T_Q_M to the @AdelaideCabaret . We had a ball! URL,On behalf of the #LGBTI elders of #Adelaide 'Thank you' @julia_zemiro for bringing @A_T_Q_M to the @AdelaideCabaret . We had a ball! URL,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,0.017503976821899414,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,no,0.0194549560546875
"Idk maybe it's the guy who paid under privileged kids to write ""kill all Jews"" for $5 because ""haha antisemitism funny""","Idk maybe it's the guy who paid under privileged kids to write ""kill all Jews"" for $5 because ""haha antisemitism funny""",4,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,yes,0.009215116500854492,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,yes,0.013874053955078125
I love that you enjoy being trans.,I love that you enjoy being trans.,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,0.013226985931396484,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,no,0.015717267990112305
How do you view lesbian relationships?  IN HD,How do you view lesbian relationships?  IN HD,2,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,no,0.014654874801635742,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,no,0.017384767532348633
"Reporter - People are still blaming DHONI for today innings if you've been a INDIAN captain wil you take him in ur Playing XI Williamson - Dhoni's hit the ball better than anybody in both teams, if he change nationality then we should consider him. He is a world class player. ❤️","Reporter - People are <slur demo_group='Falkland Islanders' explanation='After British troops were forbidden to use the insulting term  ""Bennies"", they named the Islanders ""Stills"" - because they were still Bennies.'>still</slur> blaming DHONI for today innings if you've been a <slur demo_group='Native Americans' explanation='Indians come from India, not North/South America.  Offensive because original American settlers from Europe completely misnamed them.'>indian</slur> <slur demo_group='Turks' explanation='English rhyming slang. Captain Kirk = Turk'>captain</slur> wil you take him in ur Playing XI Williamson - Dhoni's hit the ball better than anybody in both teams, if he change nationality then we should consider him. He is a world class player. ❤️",3,4.0,4.0,3.0,4.0,2.0,0.0,0.0,3.0,yes,18.836923837661743,3.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,3.0,yes,12.686214208602905
Eid Mubarak to all Muslim faithfuls. I pray the Almighty will grant us our heart desires in the month of Ramadan according to His will. Barka da Sallah,Eid Mubarak to all Muslim faithfuls. I pray the Almighty will grant us our heart desires in the month of Ramadan according to His will. Barka da Sallah,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,0.019656896591186523,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,no,0.015953779220581055
Two retards fighting,Two retards fighting,4,4.0,4.0,3.0,4.0,3.0,2.0,0.0,3.0,yes,0.007474184036254883,4.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,4.0,yes,0.01207590103149414
"They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country","They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the <slur demo_group='Whites' explanation='Self-explanatory. Usually used as ""White trash,"" ""Poor white trash,"" or ""Trailer trash.""'>trash</slur> back to there own country",4,4.0,4.0,3.0,4.0,3.0,2.0,1.0,4.0,yes,0.014467000961303711,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,yes,0.01580500602722168
"It takes belief in false morality to commit atrocities. Those who believe in the false morality of anti-abortion, anti-gay religions are primed for authoritarianism. They use their beliefs to prop themselves up as superior to others. They excuse all transgressions made by hose who share their beliefs. That is how they excuse the obvious and undeniable immorality of Trump. It is only a small step from there to dehumanizing others and committing genocidal acts like separating migrant children from their parents or ignoring the threat of climate change.","It takes belief in false morality to commit atrocities. Those who believe in the false morality of anti-abortion, anti-gay religions are primed for authoritarianism. They use their beliefs to prop themselves up as superior to others. They excuse all transgressions made by hose who share their beliefs. That is how they excuse the obvious and undeniable immorality of Trump. It is only a small step from there to dehumanizing others and committing genocidal acts like separating migrant children from their parents or ignoring the threat of climate change.",4,3.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,yes,0.013453960418701172,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,yes,0.014580011367797852
"Yes, in barbaric, authoritarian cultures that have since been condemned. Interesting that Christians desire to perpetuate the same idea.","Yes, in barbaric, authoritarian cultures that have since been condemned. <slur demo_group='Jews' explanation='Used by some upper-class Whites, especially females, when discussing men.  ""He's a nice guy. Is He...interesting?""'>interesting</slur> that Christians desire to perpetuate the same idea.",4,4.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,yes,10.909585952758789,4.0,4.0,3.0,4.0,3.0,3.0,1.0,1.0,4.0,yes,13.192671298980713
I really want to face fuck a pretty little slut and make them drool all over my cock and then fuck them senseless🥺🥺🥺,I really want to face fuck a pretty little slut and make them drool all over my cock and then fuck them senseless🥺🥺🥺,4,4.0,3.0,3.0,4.0,2.0,1.0,0.0,4.0,yes,0.016464948654174805,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,yes,0.017906904220581055
"Spend in the path of Allah in times of ease and times of difficulty, as what you spend and leave with Allah is what truly remains...","Spend in the path of Allah in times of ease and times of difficulty, as what you spend and leave with Allah is what truly remains...",1,,,,,,,,,no,0.004834175109863281,,,,,,,,,,no,0.003863096237182617
"Pakistanis must know that another wave of terror has been launched by the enemies through PTM/TTP/ISIS.. If you attack Pakistan army by any means, then be ready to be slaughtered like this by the Indians, Israelis, Khawarij and the Americans.. Watch this closely & then decide. URL","Pakistanis must know that another wave of terror has been launched by the enemies through PTM/TTP/ISIS.. If you attack Pakistan army by any means, then be ready to be slaughtered like this by the Indians, Israelis, Khawarij and the Americans.. Watch this closely & then decide. URL",4,4.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,yes,0.012293100357055664,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,yes,0.17308783531188965
