text,comment_id,annotator_id,sentiment,respect,insult,humiliate,status,dehumanize,violence,genocide,attack_defend,hatespeech,vote_distributions,rater_method,rater_type
"Thank you Brothers,Goy Gentile; non-observant jews; a jew unfamiliar with Judaism well speaks well for talmud in there own words.",45734,deepseek-v4-flash_modu_no_slur,1,3.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0,"{""sentiment"": {""1"": 4, ""2"": 1}, ""respect"": {""3"": 3, ""4"": 1, ""2"": 1}, ""insult"": {""3"": 2, ""2"": 2, ""4"": 1}, ""humiliate"": {""3"": 1, ""1"": 1, ""2"": 3}, ""status"": {""2"": 5}, ""dehumanize"": {""1"": 1, ""0"": 4}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""2"": 2, ""1"": 3}, ""hatespeech"": {""0"": 4, ""1"": 1}}",LLM_majority,LLM
"Plus, most men playing are dumb teenagers",17591,deepseek-v4-flash_modu_no_slur,3,4.0,4.0,4.0,3.0,1.0,0.0,0.0,4.0,0,"{""sentiment"": {""3"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""3"": 4, ""4"": 1}, ""dehumanize"": {""1"": 3, ""0"": 2}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 3, ""3"": 2}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
"Everything this worm of a women does is a set up or trap , she should go home to the rat hole she came from !",42348,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,4.0,1.0,0.0,4.0,1,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""4"": 5}, ""dehumanize"": {""4"": 5}, ""violence"": {""1"": 3, ""0"": 2}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""1"": 2, ""0"": 1, ""2"": 2}}",LLM_majority,LLM
"Congrats on taking the first steps, at least! So how do you envision your life from here? Continue messing around with guys in secrecy? Would you rather try to come out to your wife and see if you could get some type of agreement on what you could do? I'm a married bi guy in his early 30's, too. So if you ever want to talk to someone, I'm here for ya!",18591,deepseek-v4-flash_modu_no_slur,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,"{""sentiment"": {""1"": 5}, ""respect"": {""0"": 4, ""1"": 1}, ""insult"": {""0"": 5}, ""humiliate"": {""0"": 5}, ""status"": {""2"": 5}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""1"": 4, ""0"": 1}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
Bombs the shit out of underserving countries... and mass shootings.,13108,deepseek-v4-flash_modu_no_slur,4,4.0,3.0,3.0,2.0,0.0,4.0,1.0,4.0,0,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 1}, ""insult"": {""3"": 1}, ""humiliate"": {""3"": 1}, ""status"": {""2"": 1}, ""dehumanize"": {""0"": 1}, ""violence"": {""4"": 1}, ""genocide"": {""1"": 1}, ""attack_defend"": {""4"": 1}, ""hatespeech"": {""0"": 4, ""1"": 1}}",LLM_majority,LLM
"Saudi thuggery, funded by Merika and Trump, now exported to Sudan URL",28142,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,1,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""4"": 5}, ""dehumanize"": {""0"": 3, ""1"": 1, ""3"": 1}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""0"": 2, ""1"": 1, ""2"": 2}}",LLM_majority,LLM
"""Don't be mad Ray Charles, I don't get to see my niggas either"" that shii hit  Like for the homies that ain forgotten",48308,deepseek-v4-flash_modu_no_slur,1,3.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,0,"{""sentiment"": {""1"": 4, ""0"": 1}, ""respect"": {""3"": 3, ""4"": 1, ""2"": 1}, ""insult"": {""3"": 1, ""4"": 2, ""1"": 2}, ""humiliate"": {""3"": 3, ""2"": 1, ""4"": 1}, ""status"": {""2"": 5}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""3"": 2, ""2"": 2, ""0"": 1}, ""hatespeech"": {""0"": 4, ""1"": 1}}",LLM_majority,LLM
Jesus fed 5000 people and died a virgin...some man carry a woman go KFC one time & want pums....Be like Jesus to man!!! Cho 😒,30112,deepseek-v4-flash_modu_no_slur,3,4.0,3.0,3.0,2.0,0.0,0.0,0.0,4.0,0,"{""sentiment"": {""3"": 4, ""4"": 1}, ""respect"": {""3"": 1, ""2"": 1, ""4"": 3}, ""insult"": {""3"": 2, ""0"": 1, ""4"": 2}, ""humiliate"": {""3"": 2, ""0"": 1, ""4"": 2}, ""status"": {""2"": 3, ""3"": 1, ""4"": 1}, ""dehumanize"": {""1"": 1, ""0"": 3, ""4"": 1}, ""violence"": {""0"": 4, ""1"": 1}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 4, ""2"": 1}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
When Christ is rooted in your heart you start walking in love effortlessly. You may know so much about Christ and yet Christ is not rooted in your heart.,27958,deepseek-v4-flash_modu_no_slur,1,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,"{""sentiment"": {""0"": 2, ""1"": 3}, ""respect"": {""2"": 3, ""0"": 2}, ""insult"": {""0"": 3, ""1"": 2}, ""humiliate"": {""0"": 5}, ""status"": {""2"": 5}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""2"": 2, ""0"": 1, ""1"": 2}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
"Wow. What a dog and pony show. Next to none of these ""graduates"" were paying for their educations in the first place. These schools are so subsidized not to mention all the grants and free rides for having melanin. Not to mention the curriculum in these schools is so watered down a 1.5 gpa high school sophomore would breeze through them. I bet 85% of these students couldn't even multiply fractions. Way to teach them personal responsibiltiy and how to pay their debts. What a joke.",40444,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,2,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""4"": 5}, ""dehumanize"": {""0"": 3, ""3"": 1, ""1"": 1}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""2"": 5}}",LLM_majority,LLM
Christianity is crazy. Ima hook you up for being good.. After you dead tho. They make God seem like yo shady ass cousin.,28360,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,3.0,0.0,0.0,0.0,4.0,0,"{""sentiment"": {""3"": 2, ""4"": 3}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""3"": 1, ""4"": 4}, ""status"": {""4"": 2, ""3"": 3}, ""dehumanize"": {""0"": 4, ""1"": 1}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
"He is RoHitman Sharma, an extraordinary player of Indian cricket team.... who has no ego at all and good human being also. 🇮🇳🇮🇳",46966,deepseek-v4-flash_modu_no_slur,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0,"{""sentiment"": {""0"": 5}, ""respect"": {""0"": 5}, ""insult"": {""0"": 5}, ""humiliate"": {""0"": 5}, ""status"": {""2"": 4, ""1"": 1}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""2"": 3, ""0"": 1, ""1"": 1}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
"You can always tell when football camp back in session. Niggas every post be about god. 2 weeks ago when they were on their 19th day straight bender, sucking on random titties god was no where in their damn mind 😂😂🥴🥴🥴🥴 god saw you bitch.",35364,deepseek-v4-flash_modu_no_slur,3,4.0,4.0,4.0,3.0,0.0,0.0,0.0,4.0,2,"{""sentiment"": {""3"": 3, ""4"": 2}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""4"": 2, ""3"": 3}, ""dehumanize"": {""1"": 2, ""4"": 1, ""0"": 2}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 4, ""3"": 1}, ""hatespeech"": {""2"": 5}}",LLM_majority,LLM
I am glad @INCIndia chose Ghulam Nabi Azad to represent them in the house on #Article370. Now we know for sure that the Indian National Congress is neither Indian nor National!!,37954,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,0,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 4, ""3"": 1}, ""status"": {""3"": 1, ""4"": 4}, ""dehumanize"": {""0"": 2, ""1"": 3}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""3"": 2, ""4"": 3}, ""hatespeech"": {""1"": 1, ""0"": 4}}",LLM_majority,LLM
"Eid Mubarak! That was so kind of them, thank you for posting this here",5761,deepseek-v4-flash_modu_no_slur,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,"{""sentiment"": {""0"": 5}, ""respect"": {""0"": 5}, ""insult"": {""0"": 5}, ""humiliate"": {""0"": 5}, ""status"": {""2"": 5}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""0"": 4, ""2"": 1}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
Don't piss off Jesus. You wouldn't like him when he's cross.,19725,deepseek-v4-flash_modu_no_slur,2,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0,"{""sentiment"": {""2"": 3, ""3"": 1, ""1"": 1}, ""respect"": {""3"": 4, ""2"": 1}, ""insult"": {""0"": 3, ""1"": 2}, ""humiliate"": {""2"": 1, ""0"": 3, ""1"": 1}, ""status"": {""2"": 5}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""2"": 3, ""1"": 2}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
"Who CARES you fucking faggot. Oh no, faggot is a slerr",364,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,2,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""4"": 5}, ""dehumanize"": {""1"": 1, ""3"": 1, ""0"": 3}, ""violence"": {""0"": 4, ""1"": 1}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""2"": 5}}",LLM_majority,LLM
Meh. At least the Jews aren't fucking jihading,12086,deepseek-v4-flash_modu_no_slur,3,4.0,4.0,3.0,4.0,2.0,0.0,0.0,3.0,2,"{""sentiment"": {""3"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 3, ""3"": 2}, ""humiliate"": {""3"": 4, ""4"": 1}, ""status"": {""4"": 3, ""1"": 1, ""3"": 1}, ""dehumanize"": {""3"": 2, ""1"": 2, ""0"": 1}, ""violence"": {""0"": 4, ""1"": 1}, ""genocide"": {""0"": 5}, ""attack_defend"": {""3"": 3, ""4"": 2}, ""hatespeech"": {""2"": 5}}",LLM_majority,LLM
Did that faggot actually use the fucking problem claps?,6365,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,2,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""4"": 5}, ""dehumanize"": {""1"": 3, ""4"": 1, ""3"": 1}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""2"": 5}}",LLM_majority,LLM
stop posting faggot,17868,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,2,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""4"": 5}, ""dehumanize"": {""4"": 2, ""1"": 3}, ""violence"": {""0"": 4, ""1"": 1}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""2"": 5}}",LLM_majority,LLM
No she didnt. Now shes a failure and a man!,48954,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,3.0,0.0,0.0,4.0,2,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""4"": 5}, ""dehumanize"": {""3"": 3, ""2"": 1, ""4"": 1}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""2"": 5}}",LLM_majority,LLM
"@MaximeBernier Thank you. I am from San Francisco and fought for countless years for gays to have the right to marry. I never needed to attend a ""pride parade"". The real pride was making sure everyone was treated equally (not special). The duplicitous left are everything they claim to oppose.",39293,deepseek-v4-flash_modu_no_slur,3,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,"{""sentiment"": {""3"": 5}, ""respect"": {""1"": 2, ""3"": 2, ""2"": 1}, ""insult"": {""1"": 2, ""0"": 3}, ""humiliate"": {""0"": 4, ""1"": 1}, ""status"": {""2"": 4, ""3"": 1}, ""dehumanize"": {""0"": 4, ""1"": 1}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""1"": 3, ""2"": 2}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
The man is mentally ill. He needs help.,49699,deepseek-v4-flash_modu_no_slur,2,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0,"{""sentiment"": {""2"": 3, ""3"": 2}, ""respect"": {""3"": 2, ""2"": 3}, ""insult"": {""2"": 4, ""1"": 1}, ""humiliate"": {""3"": 1, ""0"": 1, ""2"": 1, ""1"": 2}, ""status"": {""3"": 1, ""2"": 4}, ""dehumanize"": {""0"": 4, ""1"": 1}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""2"": 3, ""1"": 2}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
Jump who nigga u støøpid I really wish so everyone in the wood can stomp you out like the cockroach face u are,30394,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,2,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 4, ""3"": 1}, ""status"": {""4"": 5}, ""dehumanize"": {""4"": 5}, ""violence"": {""4"": 4, ""1"": 1}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""2"": 5}}",LLM_majority,LLM
"This thought runs through my head every single fucking day. I'm at the same time really glad that being transgender is even a thing at all, before I had heard about it I had no idea that there was ever a way for my emotions and dissatisfaction with myself and with my body to be resolved. Even slightly resolved. I was fully expecting to have to pretend to be a cis boy my entire life until someone told me what being transgender was.",18941,deepseek-v4-flash_modu_no_slur,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,"{""sentiment"": {""1"": 5}, ""respect"": {""0"": 5}, ""insult"": {""0"": 5}, ""humiliate"": {""0"": 5}, ""status"": {""2"": 5}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""0"": 3, ""2"": 2}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
The white girl is the first time in 8 years that a white person has even reached the final group . It's always Indians,49707,deepseek-v4-flash_modu_no_slur,3,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0,"{""sentiment"": {""3"": 5}, ""respect"": {""3"": 5}, ""insult"": {""2"": 2, ""3"": 3}, ""humiliate"": {""3"": 4, ""2"": 1}, ""status"": {""3"": 2, ""4"": 1, ""2"": 1, ""1"": 1}, ""dehumanize"": {""1"": 1, ""0"": 4}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""3"": 4, ""2"": 1}, ""hatespeech"": {""1"": 2, ""2"": 1, ""0"": 2}}",LLM_majority,LLM
"@TheThunderMan05 @cindykomol Mate, no one is wiping out white people. In fact, you're far more likely to get wiped by a white guy with an assault rifle, who thinks like you, than the phantom foreigners you fear.",36618,deepseek-v4-flash_modu_no_slur,3,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,"{""sentiment"": {""3"": 5}, ""respect"": {""2"": 2, ""1"": 1, ""4"": 1, ""3"": 1}, ""insult"": {""0"": 4, ""1"": 1}, ""humiliate"": {""1"": 2, ""0"": 2, ""2"": 1}, ""status"": {""2"": 4, ""1"": 1}, ""dehumanize"": {""0"": 4, ""1"": 1}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""1"": 4, ""2"": 1}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
suck my fucking dick stoopid,38486,deepseek-v4-flash_modu_no_slur,4,,,,,,,,,0,"{""sentiment"": {""4"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
"""My confidence comes from deciding for myself."" @DitaVonTeese was joined by @Goldilockslg, founder of @thesexed, at The Wing LA for a convo on the intersection of sexuality & business & why being in touch with your sexuality can be key to how we move through every facet of life. URL",38926,deepseek-v4-flash_modu_no_slur,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0,"{""sentiment"": {""0"": 4, ""1"": 1}, ""respect"": {""0"": 3, ""4"": 1, ""2"": 1}, ""insult"": {""0"": 3, ""4"": 2}, ""humiliate"": {""0"": 3, ""4"": 2}, ""status"": {""2"": 5}, ""dehumanize"": {""0"": 3, ""1"": 2}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""2"": 3, ""3"": 1, ""4"": 1}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
"Oh God, Demotivational Poster style memes.  God I feel old, I used to spend hours looking those things up.",7473,deepseek-v4-flash_modu_no_slur,3,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0,"{""sentiment"": {""3"": 5}, ""respect"": {""2"": 4}, ""insult"": {""0"": 4}, ""humiliate"": {""0"": 4}, ""status"": {""2"": 4}, ""dehumanize"": {""0"": 4}, ""violence"": {""0"": 4}, ""genocide"": {""0"": 4}, ""attack_defend"": {""2"": 4}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
"Good news for gay rights in Hong Kong, with caveats (e.g. the court didn't rule on whether same-sex couples have the right to marry under HK law) URL",25763,deepseek-v4-flash_modu_no_slur,1,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,"{""sentiment"": {""1"": 5}, ""respect"": {""1"": 5}, ""insult"": {""0"": 5}, ""humiliate"": {""0"": 5}, ""status"": {""2"": 5}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""1"": 5}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
Show your cock faggot.. the most depressing upload schedule ever.,40133,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,2,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""4"": 5}, ""dehumanize"": {""1"": 4, ""3"": 1}, ""violence"": {""0"": 4, ""1"": 1}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""2"": 5}}",LLM_majority,LLM
"How about you take that hijab and shove it where the sun don't fucking shine, Ghada.",17461,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,2,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""4"": 5}, ""dehumanize"": {""1"": 2, ""0"": 2, ""3"": 1}, ""violence"": {""0"": 1, ""4"": 2, ""2"": 1, ""1"": 1}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""2"": 5}}",LLM_majority,LLM
